Gene symbol,ProbeSet,Disease state,Disease state mean difference,Disease state lwr,Disease state upr,Disease state p-adj,Gene title
APP,200602_at,AML-Healthy,-0.266954202,0.171985246,0.361923158,3.79E-08,amyloid beta (A4) precursor protein
CAPRIN1,200722_s_at,AML-Healthy,0.064150503,-0.081590002,-0.046711005,0,cell cycle associated protein 1
ANXA5,200782_at,AML-Healthy,-0.12216493,0.058745281,0.185584578,0.000162026,annexin A5
SCD,200832_s_at,AML-Healthy,-0.131306929,0.084378,0.178235857,4.38E-08,stearoyl-CoA desaturase (delta-9-desaturase)
GLUD1,200946_x_at,AML-Healthy,0.073083226,-0.092723859,-0.053442592,0,glutamate dehydrogenase 1
ACTA2,200974_at,AML-Healthy,0.072880569,-0.105939385,-0.039821753,1.60E-05,"actin, alpha 2, smooth muscle, aorta"
CD59,200983_x_at,AML-Healthy,-0.138111476,0.094886074,0.181336877,0,"CD59 molecule, complement regulatory protein"
SERPING1,200986_at,AML-Healthy,0.070466998,-0.117784093,-0.023149903,0.003527063,"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1"
CKAP4,200998_s_at,AML-Healthy,-0.159821301,0.115538796,0.204103807,0,cytoskeleton-associated protein 4
JUP,201015_s_at,AML-Healthy,0.133162903,-0.172592289,-0.093733518,0,junction plakoglobin
CD99,201028_s_at,AML-Healthy,0.094322608,-0.120184785,-0.068460431,0,CD99 molecule
PFKP,201037_at,AML-Healthy,0.079935546,-0.104712948,-0.055158145,0,"phosphofructokinase, platelet"
CTTN,201059_at,AML-Healthy,-0.152139289,0.109464322,0.194814256,0,cortactin
RCN1,201063_at,AML-Healthy,0.094619794,-0.122637625,-0.066601962,0,"reticulocalbin 1, EF-hand calcium binding domain"
MMP2,201069_at,AML-Healthy,0.101714887,-0.155246188,-0.048183585,0.000198659,matrix metallopeptidase 2
DCTN1,201082_s_at,AML-Healthy,0.072389211,-0.104518352,-0.040260071,1.04E-05,dynactin 1
THBS1,201110_s_at,AML-Healthy,-0.120384674,0.026547497,0.214221851,0.011940889,thrombospondin 1
CDH1,201131_s_at,AML-Healthy,-0.255637773,0.191617704,0.319657843,0,"cadherin 1, type 1"
BHLHE40,201169_s_at,AML-Healthy,0.062195831,-0.099834578,-0.024557084,0.001208969,"basic helix-loop-helix family, member e40"
ATP1B1,201242_s_at,AML-Healthy,0.165196919,-0.227954615,-0.102439223,2.62E-07,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
TRAK1,201283_s_at,AML-Healthy,0.071367805,-0.09682299,-0.04591262,4.11E-08,"trafficking protein, kinesin binding 1"
TOP2A,201291_s_at,AML-Healthy,-0.162433454,0.107618781,0.217248128,5.99E-09,topoisomerase (DNA) II alpha
NREP,201309_x_at,AML-Healthy,0.077898163,-0.115919966,-0.039876361,6.05E-05,neuronal regeneration related protein
EMP1,201324_at,AML-Healthy,0.128709657,-0.193925402,-0.063493913,0.000111432,epithelial membrane protein 1
ETS2,201329_s_at,AML-Healthy,0.078314618,-0.107980759,-0.048648476,2.42E-07,v-ets avian erythroblastosis virus E26 oncogene homolog 2
ARHGEF12,201334_s_at,AML-Healthy,-0.118987553,0.069330387,0.168644719,2.75E-06,Rho guanine nucleotide exchange factor (GEF) 12
GPX3,201348_at,AML-Healthy,-0.113427363,0.062413871,0.164440856,1.35E-05,glutathione peroxidase 3
IVNS1ABP,201362_at,AML-Healthy,-0.139989066,0.10557802,0.174400113,0,influenza virus NS1A binding protein
ZFP36L2,201367_s_at,AML-Healthy,0.082294148,-0.133518922,-0.031069373,0.0016496,ZFP36 ring finger protein-like 2
ITGA5,201389_at,AML-Healthy,0.061684431,-0.084927776,-0.038441087,2.09E-07,integrin alpha 5
IGF2R,201392_s_at,AML-Healthy,-0.112436631,0.070188232,0.154685029,1.93E-07,insulin-like growth factor 2 receptor
PLEKHB2,201411_s_at,AML-Healthy,0.060814719,-0.096358925,-0.025270513,0.000804772,"pleckstrin homology domain containing, family B (evectins) member 2"
SOX4,201416_at,AML-Healthy,0.081760808,-0.119298426,-0.044223191,2.01E-05,SRY box 4
TGFBI,201506_at,AML-Healthy,-0.141692186,0.092033719,0.191350652,2.33E-08,"transforming growth factor, beta-induced, 68kDa"
DUSP3,201536_at,AML-Healthy,0.061083732,-0.080980086,-0.041187378,1.03E-09,dual specificity phosphatase 3
FSCN1,201564_s_at,AML-Healthy,0.094716438,-0.129223695,-0.060209181,7.89E-08,fascin actin-bundling protein 1
DCTD,201572_x_at,AML-Healthy,0.061873209,-0.080105539,-0.04364088,0,dCMP deaminase
KRT18,201596_x_at,AML-Healthy,0.107875627,-0.158419521,-0.057331732,2.94E-05,"keratin 18, type I"
MARCKS,201669_s_at,AML-Healthy,-0.115038583,0.048980584,0.181096582,0.000647734,myristoylated alanine-rich protein kinase C substrate
DLG5,201681_s_at,AML-Healthy,0.066358693,-0.106663016,-0.02605437,0.001259619,"discs, large homolog 5 (Drosophila)"
CD14,201743_at,AML-Healthy,-0.128344632,0.054581177,0.202108088,0.000654872,CD14 molecule
EPCAM,201839_s_at,AML-Healthy,-0.204108652,0.134650229,0.273567075,8.29E-09,epithelial cell adhesion molecule
MPZL1,201874_at,AML-Healthy,0.074963636,-0.102504383,-0.047422888,1.01E-07,myelin protein zero-like 1
RRM2,201890_at,AML-Healthy,-0.110465876,0.069742588,0.151189163,1.12E-07,ribonucleotide reductase M2
PSRC1,201896_s_at,AML-Healthy,-0.120856625,0.080539594,0.161173656,3.71E-09,proline/serine-rich coiled-coil 1
CTDSPL,201904_s_at,AML-Healthy,-0.147105188,0.115813043,0.178397332,0,CTD small phosphatase like
RPS4Y1,201909_at,AML-Healthy,-0.12775195,0.090259502,0.165244398,0,"ribosomal protein S4, Y-linked 1"
PLK2,201939_at,AML-Healthy,0.091892313,-0.146551858,-0.037232768,0.000991495,polo-like kinase 2
LTF,202018_s_at,AML-Healthy,-0.292924003,0.21200165,0.373846356,0,lactotransferrin
SLC39A6,202089_s_at,AML-Healthy,0.065262767,-0.094277878,-0.036247656,1.07E-05,"solute carrier family 39 (zinc transporter), member 6"
CPNE3,202118_s_at,AML-Healthy,-0.164269877,0.118057394,0.210482359,0,copine III
LY6E,202145_at,AML-Healthy,0.074828525,-0.105625232,-0.044031818,1.99E-06,"lymphocyte antigen 6 complex, locus E"
DDAH2,202262_x_at,AML-Healthy,0.073212948,-0.096250371,-0.050175525,0,dimethylarginine dimethylaminohydrolase 2
TACSTD2,202286_s_at,AML-Healthy,-0.323939961,0.253672566,0.394207355,0,tumor-associated calcium signal transducer 2
BASP1,202391_at,AML-Healthy,-0.172659191,0.117919874,0.227398509,0,"brain abundant, membrane attached signal protein 1"
KLF10,202393_s_at,AML-Healthy,0.068656818,-0.092715715,-0.04459792,2.32E-08,Kruppel-like factor 10
IDS,202438_x_at,AML-Healthy,0.082629528,-0.119946547,-0.045312508,1.46E-05,iduronate 2-sulfatase
SVIL,202565_s_at,AML-Healthy,-0.112092409,0.078495189,0.145689628,0,supervillin
EPS8,202609_at,AML-Healthy,0.108991826,-0.17930422,-0.038679432,0.00239217,epidermal growth factor receptor pathway substrate 8
SERPINE1,202627_s_at,AML-Healthy,0.064850246,-0.092163734,-0.037536758,3.38E-06,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
ATF3,202672_s_at,AML-Healthy,0.150726706,-0.197854491,-0.10359892,0,activating transcription factor 3
CCNB2,202705_at,AML-Healthy,-0.114117932,0.077841223,0.150394641,0,cyclin B2
HIST2H2BE,202708_s_at,AML-Healthy,0.082176402,-0.120432648,-0.043920155,2.61E-05,"histone cluster 2, H2be"
SYNE2,202761_s_at,AML-Healthy,-0.195932995,0.146426167,0.245439823,0,"spectrin repeat containing, nuclear envelope 2"
AHR,202820_at,AML-Healthy,0.088145512,-0.130801487,-0.045489536,5.22E-05,aryl hydrocarbon receptor
CDC20,202870_s_at,AML-Healthy,-0.157148676,0.113429436,0.200867916,0,cell division cycle 20
TRAF4,202871_at,AML-Healthy,0.065563081,-0.095118298,-0.036007864,1.41E-05,TNF receptor-associated factor 4
IL1R1,202948_at,AML-Healthy,-0.199214684,0.142025039,0.256404329,0,"interleukin 1 receptor, type I"
FHL2,202949_s_at,AML-Healthy,-0.168339602,0.118275986,0.218403219,0,four and a half LIM domains 2
DYRK2,202968_s_at,AML-Healthy,0.079541139,-0.103173898,-0.05590838,0,dual specificity tyrosine-(Y)-phosphorylation regulated kinase 2
SLPI,203021_at,AML-Healthy,-0.173055839,0.123967807,0.222143871,0,secretory leukocyte peptidase inhibitor
CHST15,203066_at,AML-Healthy,-0.130614547,0.076102778,0.185126316,2.75E-06,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
MAP1A,203151_at,AML-Healthy,0.077799564,-0.114729672,-0.040869456,3.72E-05,microtubule associated protein 1A
FBN2,203184_at,AML-Healthy,-0.153382293,0.091081391,0.215683196,1.46E-06,fibrillin 2
DOCK1,203187_at,AML-Healthy,0.073472012,-0.104551508,-0.042392517,3.73E-06,dedicator of cytokinesis 1
MTRR,203199_s_at,AML-Healthy,0.066679018,-0.090665769,-0.042692266,5.37E-08,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
CDK1,203213_at,AML-Healthy,-0.119443887,0.079710538,0.159177235,3.27E-09,cyclin-dependent kinase 1
ETV5,203348_s_at,AML-Healthy,0.063763857,-0.091948995,-0.035578719,9.53E-06,ets variant 5
DUSP14,203367_at,AML-Healthy,0.106417125,-0.137213301,-0.075620948,0,dual specificity phosphatase 14
CCNA2,203418_at,AML-Healthy,-0.150234626,0.104323119,0.196146133,0,cyclin A2
MME,203434_s_at,AML-Healthy,-0.179254673,0.13447476,0.224034585,0,membrane metallo-endopeptidase
RTN1,203485_at,AML-Healthy,-0.17044513,0.116669144,0.224221117,0,reticulon 1
S100A9,203535_at,AML-Healthy,-0.115646557,0.065670489,0.165622624,5.94E-06,S100 calcium binding protein A9
ITPR1,203710_at,AML-Healthy,0.064330668,-0.092854974,-0.035806361,1.01E-05,"inositol 1,4,5-trisphosphate receptor, type 1"
JUND,203751_x_at,AML-Healthy,0.078373994,-0.11292269,-0.043825299,9.01E-06,jun D proto-oncogene
BUB1B,203755_at,AML-Healthy,-0.11635,0.081069306,0.151630694,0,BUB1 mitotic checkpoint serine/threonine kinase B
CEACAM6,203757_s_at,AML-Healthy,-0.26012524,0.187428264,0.332822215,0,carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
DLGAP5,203764_at,AML-Healthy,-0.213324342,0.15322964,0.273419045,0,"discs, large (Drosophila) homolog-associated protein 5"
GCA,203765_at,AML-Healthy,-0.166940426,0.129074578,0.204806273,0,"grancalcin, EF-hand calcium binding protein"
BLVRA,203771_s_at,AML-Healthy,-0.116204304,0.075322166,0.157086443,2.65E-08,biliverdin reductase A
SEMA3C,203789_s_at,AML-Healthy,-0.114433771,0.07179849,0.157069052,1.52E-07,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
